Unique accounts	Number of txs	Sum Ethers	Average
0x2554374c2ffd1572a696b183e72139ddaa078952	2	3.264	
0x0cdc5a0b7e9ec07406888f0d2e9babe1521b0b7e	2	59.9	
0xa4f32271dcf92cc83448827e3f102799fc9edd41	2	4.99882905	
0x0d2e3476a33ecb7ac749a24ab70cc510369e6d69	2	16.9	
0xacae778853baa903349d80b84f1176ccc6012c8d	2	1.509	
0x4640aa9d31294369ef6bdec29669108156e3a275	2	3.382461312	
0xaecb9f4c9027ef971d49c7489950cb9985ea54d4	2	15	
0x4653f768fa09bdc90bc1b13e6000821ba31626fa	2	5.14	
0xb00ed10696e9a2b6388e7099a86e404bf03f7a38	2	2	
0x46bb6588f96faa045f0515247a092847d373810d	2	0.587849201	
0xb6507782b393c8291500d80fc3221570eb70e3b5	2	4.3	
0x49b232544a54db58791f7b5deb0805da07faff6d	2	3.5	
0xb819fe58fc2bb835d4e00090d796f33d68b04ee3	2	5	
0x49c0d2e657214d48026b33a6dda95c55100143d8	2	2.85	
0xbe7d2a0aa29443c0443651da172a37c91c48b360	2	14.9	
0x0dbd0195800386629e154e5251b9ebdffa212362	2	0.25	
0xc288557f36333e49fad90c2b1c44ec330bfde9b4	2	4	
0x4be0e02d8f39248fedbdb3bf31b700fda34025f4	2	0.46637955	
0xc8f0cf97c3e997704d7500cbe0a74c92b6303e07	2	16	
0x4c9832d7bfd231f25457fbb2c5b1a58ac345af52	2	0.255	
0xcfc1248e616903bf9e69e79e6b4ceed71d26e429	2	70	
0x4db37433c78c0de871ea210b4a011bc7f3496f4d	2	6	
0xd2a4cf7303508c68fd902dfe5cb8e20abab34297	2	3.885	
0x0fa92ae78593cad5c8a585b2f825ed2c1a033480	2	0.23	
0xd5b9d277d8aad20697a51f76e20978996bffe055	2	1.923	
0x4f97c5a58fea15a2353a08ccdfc7beebe0b33e60	2	0.138	
0xd94176e2fa8314fb3e2d4d407dacec43c8529f4b	2	8	
0x5043732862627d7b00648d385637a46ff02d41f2	2	13.2	
0xdd4636daf08b9cd41abaeb25231698a4d839a74f	2	4	
0x5266a5a913e10803e84047238d06fb41bd382249	2	17.89608498	
0xe1d75e3faaa0756609c14ae664b4f97c038cdb66	2	138	
0x5499b4a6522b86b614fdab18c3ab4bed591a153d	2	0.2065	
0xe51231daa306acf16eac34a864564ca36b262a1f	2	5	
0x54a62e6aa5afa770266684491888aae941d5f019	2	2.1697009	
0xe79fe4eabac69edb4683a2979d98241f8f0b2eb7	2	7	
0x55ead4722ed057c5b888dfd7c60a2f01666d47b9	2	1.774	
0xe995345ddd18dc63c6175aa65a622808497a00e6	2	2	
0x573265980231eedfa1da45a6859679b03aa40327	2	12.40909914	
0xeb1df915e7c553252d1daaf3c9940b797eb31f33	2	2	
0x578aea83a2e26e5b0ef396402ae9b6d8350e25ab	2	9	
0xed0f8a5ffce4a7004c38fe893bd201ad9cbb0c64	2	7.3	
0x57f57026a77a000201e11b7b3e5c48506c20f224	2	25	
0xee2873ac41c32fed9e631eef784de2f99f54e635	2	2.07	
0x580a986b101a9bed1283bfc7040f1153112b6c42	2	8	
0x29b18b3fa4f6b70bee1ad585c7744097e2523cf7	2	6.098	
0x58a4fd191b856a404e722d2e2f09e29791abbc96	2	0.5	
0x8b455df0dc3effa6c9add3f33b9d4ca818939698	2	2	
